Lokhttp3,Lcom/sendbird/android/shadow/okhttp3,OKHttp3.0,40,Development Aid,https://github.com/square/okhttp,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/google/gson,Lcom/sendbird/android/shadow/com/google/gson,Google Gson,6461,Development Aid,https://github.com/google/gson,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lokio,Lcom/sendbird/android/shadow/okio,OkHttp okio Framework,13824,Development Aid,https://github.com/square/okio,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/igaworks,Lcom/igaworks,igaworks,196,Advertisement,http://www.igaworks.com/en/index.html,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/crashlytics/android,Lcom/crashlytics/android,Crashlytics,477,Mobile Analytics,http://try.crashlytics.com,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/github,Lcom/github,Github,128,Development Aid,https://github.com/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/bumptech/glide,Lcom/bumptech/glide,Glide,53367,Development Aid,https://github.com/bumptech/glide/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/google/android/gms,Lcom/google/android/gms,Google Mobile Services,31180,Development Aid,https://developers.google.com/android/reference/com/google/android/gms/package-summary,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/google/zxing,Lcom/google/zxing,ZXing ('Zebra Crossing'),119746,Development Aid,https://github.com/zxing/zxing,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/google/ads,Lcom/google/ads,Google Ads,51296,Advertisement,https://www.google.com/ads/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lio/fabric/sdk/android,Lio/fabric/sdk/android,Fabric,60,Development Aid,https://get.fabric.io/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcz/msebera/android/httpclient,Lcz/msebera/android/httpclient,HttpClient Android repackage buildscript,14570,Development Aid,https://github.com/smarek/httpclient-android,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Landroid/support/v4,Landroid/support/v4,Android Support v4,690797,Development Aid,http://developer.android.com/reference/android/support/v4/app/package-summary.html,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Landroid/support/v7,Landroid/support/v7,Android Support v7,14,Development Aid,https://developer.android.com/reference/android/support/v7/app/package-summary.html,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Landroid/support/multidex,Landroid/support/multidex,Multidex,135059,Development Aid,https://developer.android.com/studio/build/multidex.html,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/apache/commons,Lorg/apache/commons,Apache Common,466,Development Aid,https://commons.apache.org/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/apache/http,Lorg/apache/http,Apache Http,197,Development Aid,https://hc.apache.org/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/apache/log4j,Lorg/apache/log4j,Apache Log4j,29,Development Aid,http://logging.apache.org/log4j/2.x/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/slf4j,Lorg/slf4j,SLF4J,91,Development Aid,http://www.slf4j.org/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/jdom2,Lorg/jdom2,JDOM2,25,Development Aid,https://github.com/hunterhacker/jdom/wiki/JDOM2-A-Primer,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/bouncycastle,Lorg/spongycastle,Bouncy Castle,381,Development Aid,http://www.bouncycastle.org/java.html,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lorg/spongycastle,Lorg/spongycastle,Spongy Castle,67,Development Aid,http://rtyley.github.io/spongycastle/,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lfr/castorflex,Lfr/castorflex,Unknown,110,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/ahnlab/v3mobileplus/interfaces/installer,Lcom/ahnlab/v3mobileplus/interfaces/installer,Unknown,30,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/samsung/android/sdk/internal,Lcom/samsung/android/sdk/internal,Unknown,38,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/samsung/android/sdk/healthdata,Lcom/samsung/android/sdk/healthdata,Unknown,24,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/samsung/android/sdk/pass,Lcom/samsung/android/sdk/pass,Unknown,204,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/crashlytics,Lcom/crashlytics,Unknown,477,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/splunk/mint/network,Lcom/splunk/mint/network,Unknown,156,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/sinovoice/hcicloudsdk/push,Lcom/sinovoice/hcicloudsdk/push,Unknown,162,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lcom/sinovoice/hcicloudsdk/api,Lcom/sinovoice/hcicloudsdk/api,Unknown,163,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lretrofit2,Lretrofit2,Unknown,2800,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Lwei,Lwei,Unknown,108,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Luk/co/senab/photoview,Luk/co/senab/photoview,Unknown,1192,,,task_00000_to_00103/000001/000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293
Ljavax/annotation,Ljavax/annotation,JavaX Annotation API,25531,Utility,,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lorg/hamcrest,Lorg/hamcrest,hamcrest,1057,Development Aid,http://hamcrest.org/,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lorg/junit,Lorg/junit,jUnit Java Unit Test,988,Development Aid,http://junit.org/,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lcom/google/common,Lcom/google/common,Google Core Libraries for Java 6+,6918,Development Aid,https://github.com/google/guava,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lcom/google/firebase,Lcom/google/firebase,Firebase,30719,Development Aid,http://firebase.com,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lcom/google/thirdparty,Lcom/google/thirdparty,Google Core Libraries (3rd Party),5544,Development Aid,https://github.com/google/guava,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lcom/squareup/okhttp,Lcom/squareup/okhttp,OkHttp,927,Development Aid,https://github.com/square/okhttp,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Ljunit,Ljunit,Junit,1058,Development Aid,http://junit.org/junit4/,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lorg/chromium/content/browser/accessibility/captioning,Lorg/chromium/content/browser/accessibility/captioning,Unknown,2170,,,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lorg/chromium/third_party/android/swiperefresh,Lorg/chromium/third_party/android/swiperefresh,Unknown,37,,,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lorg/chromium/device/usb,Lorg/chromium/device/usb,Unknown,407,,,task_00000_to_00103/000001/0000457C55B4EAD33A89C5903176F561B6EC5545351616743132852DFCDD1C4E
Lcom/j256,Lcom/j256,J256,2521,Development Aid,https://github.com/j256/ormlite-android,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lcom/android/vending,Lcom/android/vending,Google Play,98464,App Market,https://play.google.com,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lorg/joda/time,Lorg/a/a,Joda Time,13097,Development Aid,http://www.joda.org/joda-time/,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lcom/appboy/configuration,Lcom/appboy/configuration,Unknown,91,,,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lcom/appboy/models/outgoing,Lcom/appboy/models/outgoing,Unknown,22,,,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lcom/appboy/ui/inappmessage/views,Lcom/appboy/ui/inappmessage/views,Unknown,22,,,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lcom/appboy/ui/widget,Lcom/appboy/ui/widget,Unknown,41,,,task_00000_to_00103/000001/0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2
Lcom/squareup/pollexor,Lcom/squareup/pollexor,pollexor,215,Development Aid,http://square.github.io/pollexor/,task_00000_to_00103/000001/0000B0558C0B03712962778FB5F84811964E5BF5E908D14DF87A1886FEE5BAE4
Lcom/adjust/sdk,Lcom/adjust/sdk,adjust,13,Mobile Analytics,https://www.adjust.com/,task_00000_to_00103/000001/0000B0558C0B03712962778FB5F84811964E5BF5E908D14DF87A1886FEE5BAE4
Lb,Lh5,Unknown,23,,,task_00000_to_00103/000001/0000B0558C0B03712962778FB5F84811964E5BF5E908D14DF87A1886FEE5BAE4
Lorg/fmod,Lorg/fmod,Fmod,131684,Game Engine,https://www.fmod.org/,task_00000_to_00103/000001/0000DF49436623D8BD91412539F8D9C97BA8E6EA7C7545BCB7587ED4FEFD1711
Lcom/tencent/open,Lcom/mindvalley/mva/force_update/domain,Tencent Login,51,Social Network,http://wiki.open.qq.com/wiki/mobile/Android_SDK,task_00000_to_00103/000001/0000EE44BA1A70632019A8371E45C54DF8EEE313B473D7F8722346C937992839
Lcom/facebook,Lcom/facebook,Facebook,9233,Social Network,https://developers.facebook.com,task_00000_to_00103/000001/0000EE44BA1A70632019A8371E45C54DF8EEE313B473D7F8722346C937992839
Lcom/google/protobuf,Lkotlin/reflect/jvm/internal/impl,Google Protocol Buffers,154,Development Aid,https://github.com/google/protobuf,task_00000_to_00103/000001/0000EE44BA1A70632019A8371E45C54DF8EEE313B473D7F8722346C937992839
Lcom/igexin,Lcom/getkeepsafe,getui,12841,Development Aid,http://www.getui.com/cn/index.html,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/bea/xml/stream,Lcom/bea/xml/stream,StAX API,206,Development Aid,https://jcp.org/en/jsr/detail?id=173,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/yandex/mobile/ads,Lcom/yandex/mobile/ads,Yandex Ad,205,Advertisement,https://www.yandex.com/,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lrx/internal,Lrx/internal,RxJava Retrofit,32,Development Aid,https://github.com/square/retrofit,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lorg/simpleframework,Lorg/simpleframework,simple framework,5164,Development Aid,http://www.simpleframework.org/,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lorg/xmlpull,Lorg/xmlpull,XML Pull,30,Development Aid,http://www.xmlpull.org/,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/arlib/floatingsearchview/util/view,Lcom/arlib/floatingsearchview/util/view,Unknown,164,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/mikepenz/materialdrawer/view,Lcom/mikepenz/materialdrawer/view,Unknown,911,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/mikepenz/materialdrawer/util,Lcom/mikepenz/materialdrawer/util,Unknown,182,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/mikepenz/materialize/view,Lcom/mikepenz/materialize/view,Unknown,637,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/wutka,Lcom/wutka,Unknown,259,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lcom/bartoszlipinski,Lcom/bartoszlipinski,Unknown,118,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lio/reactivex/internal/observers,Lio/reactivex/internal/observers,Unknown,544,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lrx/exceptions,Lrx/exceptions,Unknown,4018,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lrx/observers,Lrx/observers,Unknown,2844,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lrx/observables,Lrx/observables,Unknown,3278,,,task_00000_to_00103/000001/0000FA725C2F1253805167B8808744DCEA6B740554C0BA0DBB8252A7C3C9A23F
Lch/qos/logback,Lch/qos/logback,Logback,2246,Development Aid,http://logback.qos.ch/,task_00000_to_00103/000001/000145E573C0C87D5C2A2E4C1904755D93AC215DAE6BDCAA4C1236D82B6AE621
Lcom/adobe/fre,Lch/qos/logback/classic/log4j,Adobe Air FRE,40696,Development Aid,http://www.adobe.com/cn/devnet/air/air_for_android.html,task_00000_to_00103/000001/000145E573C0C87D5C2A2E4C1904755D93AC215DAE6BDCAA4C1236D82B6AE621
Lnet/danlew,Lnet/danlew,Unknown,156,,,task_00000_to_00103/000001/00017D696694A45625C4C6AD7D28B4D6B11351F2405427438C5D19B6FDE50B94
Lcom/amazonaws,Li/a/a,Amazon AWS,3445,Development Aid,http://mvnrepository.com/artifact/com.amazonaws,task_00000_to_00103/000001/0001DE67307BD623416AEB60F41086B34E72304D270E072B0763C4F6B0636903
Lorg/mozilla/javascript,Lorg/mozilla/javascript,Mozilla Rhino,1602,Development Aid,https://developer.mozilla.org/en-US/docs/Mozilla/Projects/Rhino,task_00000_to_00103/000001/0001DE67307BD623416AEB60F41086B34E72304D270E072B0763C4F6B0636903
Lcom/paypal,Lcom/paypal,PayPal,141,Payment,https://developer.paypal.com/docs/integration/mobile/android-integration-guide/,task_00000_to_00103/000001/0001DE67307BD623416AEB60F41086B34E72304D270E072B0763C4F6B0636903
Lcom/google/maps/android,Lcom/google/maps/android,Google Maps Utils,183,Map/LBS,https://github.com/googlemaps/android-maps-utils,task_00000_to_00103/000001/0001DE67307BD623416AEB60F41086B34E72304D270E072B0763C4F6B0636903
Lcom/instabug/library/view/annotation/a,Lcom/instabug/library/annotation/a,Unknown,60,,,task_00000_to_00103/000001/0001DE67307BD623416AEB60F41086B34E72304D270E072B0763C4F6B0636903
